,time,day,year,layer,phi_sn,phi_at,phi_ws,phi_e,T_w_t_1,H_t_1,phi_c,phi_net,H_t,T_w_t
"1",15,18,2017,1,4334.31467383691,1297.96125772288,2529.66691510605,36.3181086913613,61.8773909552088,130814.36394013,175.3029727232,2890.98793503918,133705.351875169,63.2448767978573
"1",18,18,2017,1,-155.60943497233,1239.33849332555,2571.22197820243,31.7409181277298,63.2448767978573,133705.351875169,191.941440015858,-1711.1752779928,131994.176597176,62.4354621549996
"1",21,18,2017,1,0,1160.22928448498,2546.56422675996,26.1303443152821,62.4354621549996,131994.176597176,202.768309622646,-1615.23359621291,130378.943000963,61.6714295388061
"1",0,19,2017,1,0,1106.8813048346,2523.45209752163,21.2269227132612,61.6714295388061,130378.943000963,195.883522689979,-1633.68123809027,128745.261762873,60.898670878207
"1",3,19,2017,1,0,1034.95304413168,2500.23639164674,17.3290409475239,60.898670878207,128745.261762873,206.163555783303,-1688.77594424589,127056.485818627,60.0998514963716
"1",6,19,2017,1,-81.5149359149064,988.62341661246,2476.40651525572,15.0661516974162,60.0998514963716,127056.485818627,211.907683937901,-1796.27187019348,125260.213948434,59.2501847363461
"1",9,19,2017,1,3311.65523723968,1064.63079452064,2451.2471720165,18.8799496236894,59.2501847363461,125260.213948434,193.312226789228,1712.8466833309,126973.060631765,60.0603899819974
"1",12,19,2017,1,7144.46554055429,1242.17405499523,2475.23375680331,29.8719956598327,60.0603899819974,126973.060631765,165.17475844235,5716.35908464403,132689.419716409,62.7643238258585
"1",15,19,2017,1,4321.44051368095,1334.09167218314,2556.56107462601,36.7580409170009,62.7643238258585,132689.419716409,161.962355540589,2900.25071478049,135589.67043119,64.1361911188778
"1",18,19,2017,1,-163.029871829813,1268.53043147438,2598.58139005987,31.7613444502447,64.1361911188778,135589.67043119,178.449357448946,-1703.2915323145,133886.378898875,63.3305056201208
"1",21,19,2017,1,0,1180.43320391506,2573.84098111153,25.7102006129606,63.3305056201208,133886.378898875,189.879074778204,-1608.99705258764,132277.381846287,62.5694229937944
"1",0,20,2017,1,0,1121.28204333203,2550.63286786447,20.2557532723166,62.5694229937944,132277.381846287,180.971262832357,-1630.57784063711,130646.80400565,61.7981322923069
"1",3,20,2017,1,0,1041.88088289681,2527.27395399207,16.2341767272417,61.7981322923069,130646.80400565,191.600567466377,-1693.22781528888,128953.576190361,60.9972071007063
"1",6,20,2017,1,-84.2592736955465,1018.06066110538,2503.1877325658,15.1305809849789,60.9972071007063,128953.576190361,192.696295700841,-1777.21322184179,127176.362968519,60.1565554014096
"1",9,20,2017,1,3237.64962081114,1090.92313792383,2478.09243065413,18.6551516449549,60.1565554014096,127176.362968519,176.519458707356,1655.30571772853,128831.668686248,60.939542804025
"1",12,20,2017,1,6989.66347045496,1260.03433459983,2501.46026399329,28.5915664511739,60.939542804025,128831.668686248,152.401356247353,5567.24461836297,134398.913304611,63.5729430012038
"1",15,20,2017,1,4226.01954357498,1347.05682734322,2581.26690887933,34.6981577339979,63.5729430012038,134398.913304611,150.030336666439,2807.08096763843,137205.994272249,64.9007394391927
"1",18,20,2017,1,-168.518547391093,1285.02160109242,2622.2231105246,30.2745646779784,64.9007394391927,137205.994272249,164.383643587281,-1700.37826508853,135505.61600716,64.0964319647567
"1",21,20,2017,1,0,1201.3865589633,2597.35632797761,24.8612274529415,64.0964319647567,135505.61600716,174.023488646,-1594.85448511325,133910.761522047,63.3420390103467
"1",0,21,2017,1,0,1145.04111584473,2574.19388879217,27.1858500766271,63.3420390103467,133910.761522047,227.060408483326,-1683.39903150739,132227.36249054,62.5457629985331
"1",3,21,2017,1,0,1069.14597418774,2549.91391533263,22.1324102953055,62.5457629985331,132227.36249054,239.253828259171,-1742.15417969937,130485.208310841,61.7216948149289
"1",6,21,2017,1,-73.8625043035045,1027.96196714345,2524.96777807832,19.6467845732152,61.7216948149289,130485.208310841,244.313447733035,-1834.82854754462,128650.379763296,60.8537900990206
"1",9,21,2017,1,3369.71135144608,1096.14287032957,2498.89299525092,23.8590597536392,60.8537900990206,128650.379763296,224.912964669463,1718.18920210162,130368.568965398,61.6665224457688
"1",12,21,2017,1,7260.05685763335,1253.38598814632,2523.3041674203,35.4937150685621,61.6665224457688,130368.568965398,197.054194972373,5757.59076831843,136126.159733716,64.3899595684262
"1",15,21,2017,1,4394.91105660896,1333.81363180657,2606.41073601192,42.5172872317792,64.3899595684262,136126.159733716,195.646844691599,2884.14982048024,139010.309554196,65.7542108680534
"1",18,21,2017,1,-147.725008607009,1276.51144597438,2648.80470735646,37.4375032329174,65.7542108680534,139010.309554196,213.125622733345,-1770.58139595536,137239.728158241,64.9166961337716
"1",21,21,2017,1,0,1199.0026726742,2622.71824301269,31.1603454817663,64.9166961337716,137239.728158241,223.981763665464,-1678.85767948572,135560.870478755,64.1225682577287
"1",0,22,2017,1,0,1146.60844110109,2598.16159263257,25.723880227945,64.1225682577287,135560.870478755,217.356138096863,-1694.63316985629,133866.237308899,63.320978309817
"1",3,22,2017,1,0,1075.79410960496,2573.54948439986,21.2510073371044,63.320978309817,133866.237308899,227.756272346052,-1746.76265447805,132119.474654421,62.4947302402507
"1",6,22,2017,1,-78.427898563192,1017.62210453332,2548.36370845708,17.952820779064,62.4947302402507,132119.474654421,236.105066063666,-1863.22738932968,130256.247265091,61.6133923952662
"1",9,22,2017,1,3401.08884923719,1092.0927252997,2521.70291584903,22.2354700351054,61.6133923952662,130256.247265091,216.361205244725,1732.88198340803,131989.129248499,62.4330746743134
"1",12,22,2017,1,7331.78325022814,1265.27291579141,2546.49175868596,34.3829186405511,62.4330746743134,131989.129248499,187.175193974219,5829.00629471881,137818.135543218,65.190292540264
"1",15,22,2017,1,4436.81174912815,1354.55395810531,2631.21878863074,41.8879370165471,65.190292540264,137818.135543218,184.610545529581,2933.64843605659,140751.783979275,66.5779575163067
